,tract,year,population,white_pop,Black_pop,Native_pop,Asian_pop,Pacific_pop,male_population,female_population,0-19_pop,20-29_pop,30-39_pop,40-49_pop,50-59_pop,60-69_pop,70+_pop
105,12001001202,2016,6531.0,4907.0,714.0,81.0,386.0,0.0,3142.0,3389.0,1248.0,728.0,1215.0,958.0,833.0,890.0,659.0
106,12001001202,2017,6898.0,5080.0,955.0,86.0,423.0,0.0,3236.0,3662.0,1123.0,1015.0,1379.0,919.0,787.0,1054.0,621.0
107,12001001202,2018,7309.0,5478.0,862.0,38.0,447.0,0.0,3278.0,4031.0,1197.0,1285.0,1531.0,827.0,825.0,1015.0,629.0
108,12001001202,2019,7857.0,5740.0,1156.0,34.0,282.0,0.0,3590.0,4267.0,1390.0,1364.0,1615.0,922.0,883.0,1041.0,642.0
109,12001001202,2020,8071.0,5793.0,1112.0,26.0,248.0,0.0,3850.0,4221.0,1599.0,1624.0,1702.0,786.0,809.0,1005.0,546.0
110,12001001202,2021,6610.333333333333,4654.0,966.0,28.0,291.6666666666667,0.0,3141.6666666666665,3468.6666666666665,1324.6666666666667,1449.0,1306.3333333333333,649.6666666666666,722.3333333333334,734.6666666666667,423.6666666666667
111,12001001202,2022,5149.666666666666,3515.0,820.0,30.0,335.3333333333333,0.0,2433.333333333333,2716.333333333333,1050.3333333333335,1274.0,910.6666666666666,513.3333333333333,635.6666666666666,464.33333333333337,301.33333333333337
112,12001001203,2016,3689.0,2376.0,674.0,32.0,379.0,0.0,1725.0,1964.0,776.0,1099.0,515.0,377.0,549.0,194.0,179.0
113,12001001203,2017,3481.0,2266.0,742.0,35.0,246.0,0.0,1502.0,1979.0,640.0,987.0,551.0,372.0,497.0,236.0,198.0
114,12001001203,2018,3542.0,2377.0,687.0,50.0,261.0,0.0,1537.0,2005.0,651.0,826.0,641.0,401.0,557.0,247.0,219.0
115,12001001203,2019,3506.0,2259.0,610.0,76.0,302.0,53.0,1613.0,1893.0,477.0,899.0,747.0,341.0,558.0,294.0,190.0
116,12001001203,2020,3526.0,2352.0,491.0,104.0,231.0,64.0,1661.0,1865.0,603.0,711.0,943.0,280.0,568.0,237.0,184.0
117,12001001203,2021,3728.6666666666665,2032.6666666666667,1170.3333333333335,78.0,154.0,42.66666666666667,1957.6666666666667,1771.0,627.3333333333334,791.6666666666666,947.3333333333334,319.6666666666667,572.0,267.3333333333333,203.33333333333334
118,12001001203,2022,3931.3333333333335,1713.3333333333335,1849.6666666666667,52.0,77.0,21.333333333333336,2254.3333333333335,1677.0,651.6666666666666,872.3333333333334,951.6666666666666,359.3333333333333,576.0,297.6666666666667,222.66666666666666
119,12001001400,2016,4134.0,1394.0,2529.0,26.0,0.0,0.0,2551.0,1583.0,676.0,953.0,956.0,399.0,580.0,328.0,242.0
120,12001001400,2017,4389.0,1494.0,2675.0,22.0,0.0,0.0,2622.0,1767.0,841.0,1000.0,970.0,397.0,582.0,335.0,264.0
121,12001001400,2018,4619.0,1623.0,2748.0,9.0,0.0,0.0,2823.0,1796.0,864.0,997.0,1098.0,412.0,640.0,337.0,271.0
122,12001001400,2019,4652.0,1661.0,2719.0,24.0,0.0,0.0,2996.0,1656.0,1002.0,1045.0,958.0,491.0,500.0,377.0,279.0
123,12001001400,2020,4915.0,1760.0,2872.0,25.0,24.25,1.25,3096.0,1819.0,1186.0,1063.0,849.0,708.0,442.0,450.0,217.0
124,12001001400,2021,3752.333333333333,1477.3333333333333,2035.0,18.333333333333332,48.5,2.5,2282.3333333333335,1470.0,836.3333333333333,991.0,629.0,487.0,311.0,350.6666666666667,147.33333333333331
125,12001001400,2022,2589.6666666666665,1194.6666666666665,1198.0,11.666666666666666,72.75,3.75,1468.6666666666667,1121.0,486.66666666666663,919.0,409.0,266.0,180.0,251.33333333333334,77.66666666666666
126,12001001514,2016,1427.0,912.0,361.0,5.0,97.0,5.0,655.0,772.0,137.0,847.0,189.0,45.0,49.0,152.0,8.0
127,12001001514,2017,1549.0,1073.0,293.0,5.0,129.0,3.0,647.0,902.0,160.0,927.0,207.0,60.0,76.0,113.0,6.0
128,12001001514,2018,1561.0,1173.0,175.0,0.0,160.0,3.0,634.0,927.0,101.0,995.0,209.0,71.0,109.0,65.0,11.0
129,12001001514,2019,1689.0,1278.0,155.0,18.0,165.0,0.0,640.0,1049.0,132.0,1076.0,249.0,60.0,97.0,63.0,12.0
130,12001001514,2020,1742.0,1218.0,99.0,17.0,262.0,17.0,855.0,887.0,129.0,1172.0,214.0,63.0,80.0,51.0,33.0
131,12001001514,2021,2785.333333333333,1795.3333333333335,373.3333333333333,27.666666666666664,391.66666666666663,34.0,1334.6666666666667,1450.6666666666665,309.33333333333337,1812.0,291.6666666666667,96.33333333333334,150.0,88.0,38.0
132,12001001514,2022,3828.6666666666665,2372.666666666667,647.6666666666666,38.33333333333333,521.3333333333333,51.0,1814.3333333333335,2014.3333333333333,489.6666666666667,2452.0,369.33333333333337,129.66666666666669,220.0,125.0,43.0
133,12001001515,2016,4872.0,2950.0,922.0,49.0,651.0,68.0,2294.0,2578.0,670.0,3092.0,447.0,163.0,290.0,162.0,48.0
134,12001001515,2017,5174.0,3181.0,999.0,44.0,669.0,21.0,2208.0,2966.0,682.0,3352.0,436.0,143.0,321.0,181.0,59.0
135,12001001515,2018,5207.0,3316.0,873.0,58.0,653.0,9.0,2184.0,3023.0,628.0,3189.0,576.0,256.0,352.0,164.0,42.0
136,12001001515,2019,4919.0,3187.0,758.0,44.0,635.0,0.0,2044.0,2875.0,619.0,2907.0,576.0,284.0,360.0,138.0,35.0
137,12001001515,2020,4436.0,2778.0,803.0,10.0,429.0,5.75,1737.0,2699.0,429.0,2936.0,413.0,220.0,319.0,86.0,33.0
138,12001001515,2021,3558.6666666666665,2213.6666666666665,629.3333333333334,9.333333333333334,387.3333333333333,11.5,1438.6666666666667,2120.0,367.3333333333333,2311.0,357.3333333333333,168.66666666666666,255.0,72.33333333333333,27.0
139,12001001515,2022,2681.333333333333,1649.3333333333333,455.6666666666667,8.666666666666666,345.6666666666667,17.25,1140.3333333333335,1541.0,305.6666666666667,1686.0,301.6666666666667,117.33333333333333,191.0,58.66666666666667,21.0
140,12001001516,2016,1804.0,1085.0,282.0,8.0,304.0,23.0,842.0,962.0,244.0,1061.0,246.0,66.0,127.0,45.0,15.0
141,12001001516,2017,2005.0,1213.0,396.0,5.0,241.0,11.0,854.0,1151.0,240.0,1273.0,274.0,67.0,91.0,42.0,18.0
142,12001001516,2018,2134.0,1175.0,392.0,8.0,370.0,15.0,898.0,1236.0,260.0,1318.0,312.0,86.0,100.0,42.0,16.0
143,12001001516,2019,2422.0,1436.0,384.0,9.0,374.0,16.0,999.0,1423.0,232.0,1604.0,358.0,97.0,100.0,13.0,18.0
144,12001001516,2020,1335.0,850.0,142.0,6.0,216.0,18.0,432.0,903.0,40.0,1020.0,110.0,84.0,63.0,5.0,13.0
145,12001001516,2021,2650.0,1691.3333333333335,487.3333333333333,4.0,286.0,45.0,1154.6666666666665,1495.3333333333335,290.0,1800.6666666666665,233.0,127.33333333333334,119.0,19.333333333333336,60.666666666666664
146,12001001516,2022,3965.0,2532.666666666667,832.6666666666666,2.0,356.0,72.0,1877.3333333333333,2087.666666666667,540.0,2581.333333333333,356.0,170.66666666666669,175.0,33.66666666666667,108.33333333333333
147,12001001517,2016,5280.0,3374.0,1178.0,0.0,426.0,99.0,2600.0,2680.0,790.0,3362.0,479.0,214.0,231.0,48.0,156.0
148,12001001517,2017,5435.0,3757.0,745.0,0.0,653.0,28.0,2726.0,2709.0,466.0,3772.0,461.0,326.0,215.0,38.0,157.0
149,12001001517,2018,4969.0,3585.0,440.0,7.0,708.0,9.0,2772.0,2197.0,526.0,3059.0,522.0,377.0,220.0,90.0,175.0
150,12001001517,2019,4547.0,3258.0,288.0,5.0,718.0,5.0,2747.0,1800.0,415.0,2968.0,513.0,291.0,141.0,68.0,151.0
151,12001001517,2020,2499.0,1568.0,178.0,6.0,636.0,4.75,1693.0,806.0,291.0,1192.0,636.0,146.0,37.0,49.0,148.0
152,12001001517,2021,2593.0,1494.6666666666667,293.0,11.666666666666668,689.6666666666666,4.5,1639.6666666666667,953.3333333333334,308.0,1416.6666666666667,490.0,133.0,76.0,42.0,127.33333333333333
153,12001001517,2022,2687.0,1421.3333333333333,408.0,17.333333333333336,743.3333333333334,4.25,1586.3333333333333,1100.6666666666667,325.0,1641.3333333333333,344.0,120.0,115.0,35.0,106.66666666666666
154,12001001519,2016,2781.0,1348.0,523.0,23.0,797.0,4.0,1533.0,1248.0,342.0,1866.0,198.0,107.0,154.0,28.0,86.0
155,12001001519,2017,2742.0,1287.0,617.0,28.0,712.0,1.0,1603.0,1139.0,290.0,1993.0,210.0,37.0,122.0,45.0,45.0
156,12001001519,2018,2877.0,1374.0,550.0,27.0,842.0,2.0,1680.0,1197.0,265.0,2169.0,202.0,69.0,119.0,24.0,29.0
157,12001001519,2019,2622.0,1283.0,400.0,43.0,802.0,1.0,1524.0,1098.0,298.0,1862.0,225.0,97.0,102.0,38.0,0.0
158,12001001519,2020,2252.0,1054.0,282.0,29.0,787.0,0.75,1138.0,1114.0,251.0,1664.0,180.0,69.0,60.0,28.0,25.0
159,12001001519,2021,2264.3333333333335,1202.0,323.6666666666667,31.333333333333332,589.3333333333334,0.5,1168.3333333333333,1096.0,237.33333333333334,1549.3333333333333,200.66666666666666,67.0,111.0,65.66666666666666,50.0
