lat,lon,zipcode
47.7,-122.03,98053
47.65,-122.03,98053
47.7,-122.02,98053
47.67,-122.1,98052
47.67,-122.13,98052
47.67,-122.11,98052
47.68,-122.13,98052
47.67,-122.1,98052
47.7,-122.09,98052
47.68,-122.13,98052
47.67,-122.11,98052
47.67,-122.11,98052
47.67,-122.12,98052
47.27,-122.23,98047
47.27,-122.23,98047
47.8,-122.33,98043
47.79,-122.29,98043
47.79,-122.29,98043
47.78,-122.31,98043
47.36,-122.11,98042
47.36,-122.12,98042
47.36,-122.1,98042
47.36,-122.12,98042
47.36,-122.11,98042
47.54,-122.23,98040
47.54,-122.23,98040
47.36,-122.02,98038
47.39,-122.05,98038
47.39,-122.05,98038
47.36,-122.02,98038
47.83,-122.27,98037
47.83,-122.27,98037
47.82,-122.29,98037
47.82,-122.29,98037
47.84,-122.3,98037
47.83,-122.27,98037
47.83,-122.27,98037
47.83,-122.27,98037
47.82,-122.3,98037
47.82,-122.27,98036
47.81,-122.29,98036
47.71,-122.19,98034
47.71,-122.21,98034
47.71,-122.18,98034
47.72,-122.21,98034
47.71,-122.19,98034
47.72,-122.21,98034
47.68,-122.18,98033
47.67,-122.17,98033
47.68,-122.17,98033
47.67,-122.2,98033
47.66,-122.21,98033
47.68,-122.21,98033
47.38,-122.25,98032
47.41,-122.25,98032
47.38,-122.24,98032
47.38,-122.25,98032
47.39,-122.16,98031
47.42,-122.2,98031
47.39,-122.2,98031
47.39,-122.21,98031
47.42,-122.2,98031
47.36,-122.17,98030
47.36,-122.17,98030
47.37,-122.2,98030
47.37,-122.2,98030
47.57,-122,98029
47.54,-122.05,98029
47.54,-122.02,98029
47.54,-122.05,98029
47.55,-122.04,98029
47.54,-122.02,98029
47.57,-122,98029
47.54,-122.02,98029
47.55,-122.04,98029
47.73,-122.24,98028
47.76,-122.25,98028
47.76,-122.24,98028
47.82,-122.33,98026
47.82,-122.32,98026
47.82,-122.32,98026
47.82,-122.32,98026
47.3,-122.36,98023
47.3,-122.36,98023
47.3,-122.38,98023
47.32,-122.36,98023
47.81,-122.21,98021
47.79,-122.22,98021
47.81,-122.21,98021
47.8,-122.21,98021
47.78,-122.21,98021
47.81,-122.21,98021
47.77,-122.19,98021
47.77,-122.21,98021
47.77,-122.21,98021
47.78,-122.34,98020
47.81,-122.38,98020
47.79,-122.36,98020
47.8,-122.34,98020
47.79,-122.37,98020
47.77,-122.36,98020
47.78,-122.34,98020
47.78,-122.35,98020
47.65,-121.92,98014
47.85,-122.22,98012
47.85,-122.22,98012
47.86,-122.22,98012
47.85,-122.22,98012
47.76,-122.18,98011
47.73,-122.17,98011
47.75,-122.16,98011
47.75,-122.15,98011
47.58,-122.13,98008
47.62,-122.13,98007
47.63,-122.14,98007
47.61,-122.14,98007
47.62,-122.13,98007
47.63,-122.14,98007
47.63,-122.14,98007
47.57,-122.17,98006
47.56,-122.11,98006
47.58,-122.17,98006
47.58,-122.17,98006
47.58,-122.17,98006
47.54,-122.17,98006
47.54,-122.17,98006
47.54,-122.17,98006
47.6,-122.15,98005
47.62,-122.15,98005
47.62,-122.18,98005
47.62,-122.18,98005
47.63,-122.15,98005
47.62,-122.2,98004
47.62,-122.2,98004
47.62,-122.19,98004
47.61,-122.2,98004
47.62,-122.2,98004
47.62,-122.2,98004
47.62,-122.2,98004
47.62,-122.19,98004
47.61,-122.2,98004
47.61,-122.2,98004
47.62,-122.2,98004
47.63,-122.2,98004
47.62,-122.2,98004
47.62,-122.2,98004
47.59,-122.24,98004
47.59,-122.24,98004
47.59,-122.23,98004
47.29,-122.32,98003
47.31,-122.32,98003
47.31,-122.31,98003
47.32,-122.31,98003
47.31,-122.23,98002
47.29,-122.21,98002
47.32,-122.22,98002
47.3,-122.25,98001
45.32,-118.08,97850
45.33,-118.07,97850
45.83,-119.29,97838
45.85,-119.29,97838
44.78,-117.82,97814
44.78,-117.82,97814
45.67,-118.81,97801
45.66,-118.81,97801
44.27,-121.19,97756
44.27,-121.18,97756
44.26,-121.18,97756
44.26,-121.18,97756
44.3,-120.83,97753
44.64,-121.13,97741
43.87,-121.44,97707
44.1,-121.3,97703
44.07,-121.3,97703
44.06,-121.3,97703
44.03,-121.31,97703
44.08,-121.3,97703
44.03,-121.31,97703
44.1,-121.3,97703
44.06,-121.31,97703
44.05,-121.33,97703
44.05,-121.33,97703
44.05,-121.31,97703
44.06,-121.26,97701
42.21,-121.75,97603
42.21,-121.72,97603
42.19,-122.67,97540
42.2,-122.71,97540
42.43,-123.32,97527
42.44,-123.33,97527
42.44,-123.3,97526
42.34,-122.87,97504
42.32,-122.83,97504
42.35,-122.87,97502
42.35,-122.88,97502
42.36,-122.86,97502
42.36,-122.86,97502
42.31,-122.85,97501
42.33,-122.87,97501
42.33,-122.87,97501
42.34,-122.88,97501
43.23,-123.37,97495
43.23,-123.37,97495
43.23,-123.35,97495
43.97,-124.1,97493
44.05,-122.93,97482
44.06,-123.02,97477
44.06,-123,97477
43.8,-123.05,97472
44.23,-123.21,97448
43.36,-124.21,97420
43.41,-124.24,97420
42.05,-124.29,97415
44.1,-123.13,97404
44.09,-123.1,97404
44.01,-123.09,97403
44.03,-123.09,97403
44.04,-123.07,97403
44.07,-123.18,97402
44.05,-123.17,97402
44.05,-123.1,97401
44.04,-123.09,97401
44.05,-123.14,97401
44.08,-123.07,97401
44.07,-123.1,97401
44.04,-123.09,97401
44.05,-123.14,97401
44.07,-123.08,97401
44.05,-123.08,97401
44.07,-123.07,97401
44.04,-123.12,97401
44.05,-123.09,97401
44.05,-123.06,97401
44.08,-123.04,97401
44.07,-123.04,97401
44.4,-122.73,97386
44.65,-124.05,97365
44.64,-124.05,97365
45,-124.01,97364
44.99,-124.01,97364
45,-122.79,97362
44.53,-122.91,97355
44.93,-123.31,97338
44.93,-123.31,97338
44.56,-123.26,97331
44.58,-123.27,97331
44.55,-123.31,97331
44.59,-123.25,97331
44.59,-123.28,97331
44.58,-123.26,97331
44.81,-122.8,97325
44.63,-123.08,97321
44.63,-123.08,97321
44.63,-123.09,97321
44.63,-123.08,97321
44.65,-123.11,97321
45.01,-123,97303
45.01,-122.99,97303
45,-123.02,97303
45,-123.03,97303
44.91,-123.04,97302
44.9,-123.04,97302
44.87,-123.02,97302
44.94,-123.06,97302
44.91,-123.04,97302
44.94,-123.04,97301
44.97,-122.98,97301
44.95,-123.05,97301
44.94,-123.02,97301
44.94,-122.98,97301
44.96,-123.03,97301
44.97,-122.98,97301
45.55,-122.62,97299
45.55,-122.6,97299
45.53,-122.62,97299
45.53,-122.62,97299
45.55,-122.59,97299
45.41,-122.63,97267
45.39,-122.64,97267
45.5,-122.67,97258
45.47,-122.69,97239
45.47,-122.7,97239
45.47,-122.71,97239
45.48,-122.69,97239
45.48,-122.67,97239
45.49,-122.48,97233
45.53,-122.64,97232
45.52,-122.64,97232
45.53,-122.65,97232
45.53,-122.65,97232
45.74,-122.88,97231
45.53,-122.48,97230
45.54,-122.78,97229
45.55,-122.84,97229
45.53,-122.81,97229
45.55,-122.84,97229
45.53,-122.81,97229
45.53,-122.66,97227
45.53,-122.66,97227
45.53,-122.66,97227
45.53,-122.66,97227
45.53,-122.66,97227
45.49,-122.77,97225
45.49,-122.76,97225
45.47,-122.75,97225
45.4,-122.8,97224
45.42,-122.78,97224
45.41,-122.79,97224
45.38,-122.77,97224
45.44,-122.75,97223
45.44,-122.75,97223
45.45,-122.58,97222
45.44,-122.57,97222
45.44,-122.58,97222
45.44,-122.63,97222
45.42,-122.63,97222
45.42,-122.63,97222
45.45,-122.62,97222
45.42,-122.59,97222
45.45,-122.58,97222
45.49,-122.73,97221
45.56,-122.53,97220
45.57,-122.56,97220
45.53,-122.56,97220
45.53,-122.56,97220
45.43,-122.7,97219
45.45,-122.72,97219
45.46,-122.68,97219
45.59,-122.59,97218
45.59,-122.59,97218
45.58,-122.57,97218
45.57,-122.6,97218
45.59,-122.59,97218
45.59,-122.59,97218
45.61,-122.68,97217
45.58,-122.68,97217
45.58,-122.73,97217
45.61,-122.68,97217
45.61,-122.68,97217
45.52,-122.56,97216
45.5,-122.53,97216
45.52,-122.54,97216
45.53,-122.54,97216
45.5,-122.54,97216
45.52,-122.56,97216
45.5,-122.58,97215
45.51,-122.64,97214
45.5,-122.63,97214
45.5,-122.62,97214
45.51,-122.63,97214
45.53,-122.61,97213
45.53,-122.6,97213
45.52,-122.61,97213
45.55,-122.65,97212
45.57,-122.66,97211
45.57,-122.66,97211
45.55,-122.71,97210
45.53,-122.68,97209
45.53,-122.68,97209
45.53,-122.68,97209
45.53,-122.69,97209
45.49,-122.62,97206
45.46,-122.58,97206
45.49,-122.58,97206
45.48,-122.62,97206
45.53,-122.7,97205
45.51,-122.73,97205
45.52,-122.75,97205
45.52,-122.7,97205
45.52,-122.75,97205
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.52,-122.68,97204
45.59,-122.74,97203
45.59,-122.75,97203
45.59,-122.75,97203
45.47,-122.65,97202
45.46,-122.65,97202
45.5,-122.69,97201
45.52,-122.69,97201
45.51,-122.68,97201
45.52,-122.69,97201
45.51,-122.68,97201
