,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
230,38_728,38,Fort Worth,5.0,Crestwood/River Oaks/Sansom Park,Tarrant,Calloway Place,,5750 Sam Calloway Road,Fort Worth,TX,76114,32.766661,-97.408002,8173773883.0,62,36420.0,2.0,C+,B-,Completed,,,,1985-01-01,0.0,,N,N,,N,,,,100.0,902.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=728,484391006023015,48439100602
231,38_744,38,Fort Worth,46.0,Downtown Arlington,Tarrant,Sam Maverick,Maverick,711 Grand Court,Arlington,TX,76013,32.722656,-97.115041,9728509150.0,56,31200.0,2.28,C,C+,Completed,,,,1982-01-01,0.0,,,N,,N,,,,87.5,945.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=744,484391224022000,48439122402
232,38_762,38,Fort Worth,18.0,Ridglea,Tarrant,Ridglea Square,,6020 Malvey Avenue,Fort Worth,TX,76116,32.733298,-97.414355,8177321000.0,54,44148.0,1.29,C,C+,Completed,,,,1960-01-01,0.0,,N,N,N,N,,0.0,,88.9,1108.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=762,484391024011000,48439102401
233,38_871,38,Fort Worth,49.0,Great Southwest,Tarrant,Rose Garden,"Manning, Goldbriar",2718 Sherman Street,Grand Prairie,TX,75051,32.735237,-97.047866,8174350631.0,57,43670.0,2.38,C,C+,Completed,,,,1968-01-01,0.0,,N,N,N,N,,,,94.7,881.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=871,484391219041006,48439121904
234,38_922,38,Fort Worth,59.0,Azle,Tarrant,Eagle Lake Garden,,1300 Village Garden Drive,Azle ,TX,76020,32.884744,-97.521708,8174446532.0,60,42800.0,3.46,C+,B+,Completed,,,,1987-01-01,0.0,,,A,,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=922,484391142042009,48439114204
235,38_939853,38,Fort Worth,3.0,Medical District,Tarrant,Jennings III,,1424 South Jennings Avenue,Fort Worth,TX,76104,32.728455,-97.330564,,50,0.0,,,C+,Planned,2019-08-02,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=939853,484391236001016,48439123600
236,43_1151543,43,Dallas - Suburban,6.0,Lake Village/South Irving/West Dallas,Dallas,Irving Boulevard,,2121 Irving Blvd,Dallas,TX,75207,32.794337,-96.83177,,50,0.0,4.74,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1151543,481130100032196,48113010003
237,43_1173802,43,Dallas - Suburban,5.0,North Oak Cliff/Irving,Dallas,Magnolia on Zang Two,,888 North Zang Blvd,Dallas,TX,75208,32.753348,-96.823814,4699659264.0,64,45020.0,1.2,B,C,Completed,,2019-04-01,2020-09-21,2021-01-31,0.0,,N,N,N,N,,,,90.6,1726.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1173802,481130042012024,48113004201
238,43_1272888,43,Dallas - Suburban,5.0,North Oak Cliff/Irving,Dallas,Magnolia off Sylvan,,707 Seale Street,Dallas,TX,75208,32.77153303,-96.83501161,9728185660.0,60,46015.0,0.86,B+,B-,Completed,,,,2018-01-01,0.0,,N,N,N,N,,,,98.3,1615.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1272888,481130043001086,48113004300
239,43_1294573,43,Dallas - Suburban,28.0,East Denton,Denton,Oak & Fry,,226 Fry Street,Denton,TX,76201,33.216759,-97.146154,,60,0.0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1294573,481210207002028,48121020700
240,43_1306442,43,Dallas - Suburban,3.0,Fair Park,Dallas,"Brixen, The",,Metropolitan Avenue & S Central Expy,Dallas,TX,75215,32.758348,-96.768322,,65,0.0,,,C-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1306442,481130037002041,48113003700
241,43_1307367,43,Dallas - Suburban,6.0,Lake Village/South Irving/West Dallas,Dallas,Mabel Meshack White Manor,,3260 Bickers Street,Dallas,TX,75212,32.785095054,-96.87324167,2146311130.0,65,38640.0,2.0,C+,C+,Completed,,,,2004-09-01,0.0,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1307367,481130205002001,48113020500
242,43_1323253,43,Dallas - Suburban,6.0,Lake Village/South Irving/West Dallas,Dallas,212 Melba,,212 Melba Street,Dallas,TX,75208,32.7469633270992,-96.8253963,,58,0.0,,,C+,Under Construction,2021-01-01,2021-07-13,,2022-06-30,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1323253,481130047002020,48113004700
243,43_1357079,43,Dallas - Suburban,2.0,Pleasant Grove,Dallas,220 North St. Augustine,,318 North St. Augustine Road,Dallas,TX,75201,32.716045,-96.655302,,50,0.0,,,C+,Prospective,,,,,1.0,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1357079,481130117011014,48113011701
244,43_1461,43,Dallas - Suburban,7.0,North Grand Praire,Dallas,Greenhill,,403 Small Hill Drive,Grand Prairie,TX,75050,32.749308,-96.999855,9725049277.0,50,32300.0,1.3,C,C,Completed,,,,1968-01-01,0.0,,,N,,N,,,,100.0,1028.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1461,481130155002033,48113015500
245,43_1485,43,Dallas - Suburban,22.0,Espanita/Timberlake,Dallas,Sable Pointe,,4031 North Star Drive,Irving,TX,75038,32.8628477,-97.0080904,9726591641.0,64,45992.0,4.8,B,C+,Completed,,,,1986-01-01,0.0,,N,N,N,N,,,,93.8,1131.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1485,481130141612012,48113014161
246,43_1491,43,Dallas - Suburban,22.0,Espanita/Timberlake,Dallas,Montego Bay,,4905 Courtside Drive,Irving,TX,75038,32.874541,-96.999221,9722586409.0,62,43658.0,2.3,C+,C+,Completed,,,,1979-01-01,0.0,,,N,,N,,,,100.0,962.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1491,481130141601009,48113014160
247,43_1518,43,Dallas - Suburban,21.0,Las Colinas,Dallas,"Colony on Rochelle, The","Colonia del Sol, Waterford Court",1000 West Rochelle Road,Irving,TX,75062,32.8521855,-96.9330778,9722550113.0,64,45020.0,2.12,C,C+,Completed,,,,1968-01-01,0.0,,,N,,N,,,,95.3,941.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=43&PropertyID=1518,481130142051021,48113014205
