,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
3428,117_1132,117,Baton Rouge,19.0,Denham Springs,Livingston Parish,"Palms at Juban Lakes, The",,11020 Buddy Ellis Road,Denham Springs,LA,70726,30.454861,-90.904122,2259981025.0,144,155916.0,16.6,B,B-,Completed,2017-09-30,2017-10-18,2018-05-03,2019-04-01 00:00:00,0.0,,N,N,N,N,,0.0,,97.9,1296.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1132,220630408121008,22063040812
3429,117_122,117,Baton Rouge,11.0,Shenandoah,East Baton Rouge Parish,Cedarwood,,3484 Cedarcrest Avenue,Baton Rouge,LA,70816,30.4197506,-91.0673771,2252928844.0,180,162862.0,8.35,C+,C+,Completed,,,,1988-01-01 00:00:00,0.0,,N,N,N,N,,,,95.0,1007.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=122,220330039102007,22033003910
3430,117_1340394,117,Baton Rouge,2.0,Mid City North,East Baton Rouge Parish,1885 Wooddale Blvd,,1885 Wooddale Blvd,Baton Rouge,LA,70806,30.4650232,-91.1149466,,186,0.0,,,C,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1340394,220330011021011,22033001102
3431,117_136,117,Baton Rouge,10.0,Broadmoor-Sherwood Forest,East Baton Rouge Parish,Kingston Point,,1919 Boulevard De Province,Baton Rouge,LA,70816,30.4349556,-91.0447409,2252724800.0,155,159660.0,9.37,B-,B-,Completed,,,,1975-01-01 00:00:00,0.0,,N,N,N,N,,,,53.5,817.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=136,220330039121000,22033003912
3432,117_138,117,Baton Rouge,5.0,Highlands-Perkins,East Baton Rouge Parish,Alight Baton Rouge,University Edge,650 West McKinley Street,Baton Rouge,LA,70802,30.424229,-91.184801,2254423600.0,147,192246.0,6.39,A-,C,Completed,,,,2013-06-01 00:00:00,0.0,,A,N,N,N,,,,,2162.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=138,220330024002010,22033002400
3433,117_14,117,Baton Rouge,12.0,Old Jefferson,East Baton Rouge Parish,Reserve at Jefferson Crossing,,17232 Jefferson Hwy,Baton Rouge,LA,70817,30.3602428,-91.0030356,2257518373.0,180,169821.0,9.34,B,B,Completed,,,,2009-01-01 00:00:00,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=14,220330045093004,22033004509
3434,117_143,117,Baton Rouge,5.0,Highlands-Perkins,East Baton Rouge Parish,"Oliver, The",University Crescent,4500 Burbank Drive,Baton Rouge,LA,70820,30.3982165,-91.1746682,2257687172.0,192,209892.0,14.59,A-,B-,Completed,,,,1999-01-01 00:00:00,0.0,,A,N,N,N,,,,,1500.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=143,220330040232000,22033004023
3435,117_147,117,Baton Rouge,19.0,Denham Springs,Livingston Parish,Village at Juban Lakes,,11000 Buddy Ellis Road,Denham Springs,LA,70726,30.4580774,-90.903199,2252718598.0,144,137496.0,9.15,B+,B-,Completed,,,,2009-01-01 00:00:00,0.0,,N,N,N,N,,,,99.3,1271.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=147,220630408121008,22063040812
3436,117_15,117,Baton Rouge,19.0,Denham Springs,Livingston Parish,Suma Lake,,17701 Suma Lake Drive,Livingston,LA,70754,30.4774451,-90.7934299,2256861111.0,172,212800.0,23.9,B,B-,Completed,,,,2010-01-01 00:00:00,0.0,,N,N,N,N,,,,98.3,1106.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=15,220630404052010,22063040405
3437,117_153,117,Baton Rouge,9.0,Park Forest-La North,East Baton Rouge Parish,Mallard Crossing,,11320 Greenwell Springs Road,Baton Rouge,LA,70814,30.494558,-91.0550596,2252753300.0,192,196128.0,13.0,B,B-,Completed,,,,2012-01-01 00:00:00,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=153,220330035072033,22033003507
