,Zipcode,Area,State,Region
389,33035,20.77,FL,FL
390,33036,5.86,FL,FL
391,33037,33.82,FL,FL
392,33040,18.49,FL,FL
393,33042,25.51,FL,FL
394,33043,14.83,FL,FL
395,33050,9.09,FL,FL
396,33054,8.78,FL,FL
397,33055,6.0,FL,FL
398,33056,6.06,FL,FL
399,33060,7.03,FL,FL
400,33062,3.79,FL,FL
401,33063,8.89,FL,FL
402,33064,10.46,FL,FL
403,33065,8.33,FL,FL
404,33066,3.18,FL,FL
405,33067,10.62,FL,FL
406,33068,5.96,FL,FL
407,33069,9.38,FL,FL
408,33070,4.36,FL,FL
409,33071,7.7,FL,FL
410,33073,8.5,FL,FL
411,33076,12.36,FL,FL
412,33109,0.31,FL,FL
413,33122,48.288357221609665,FL,FL
414,33125,3.86,FL,FL
415,33126,5.01,FL,FL
416,33127,3.31,FL,FL
417,33128,0.4,FL,FL
418,33129,1.35,FL,FL
419,33130,1.1,FL,FL
420,33131,0.4,FL,FL
421,33132,1.69,FL,FL
422,33133,4.18,FL,FL
423,33134,5.21,FL,FL
424,33135,2.16,FL,FL
425,33136,1.43,FL,FL
426,33137,2.02,FL,FL
427,33138,4.22,FL,FL
428,33139,2.69,FL,FL
429,33140,3.04,FL,FL
430,33141,2.32,FL,FL
431,33142,7.07,FL,FL
432,33143,7.89,FL,FL
433,33144,3.09,FL,FL
434,33145,2.54,FL,FL
435,33146,3.11,FL,FL
436,33147,7.25,FL,FL
437,33149,4.68,FL,FL
438,33150,3.5,FL,FL
439,33154,1.78,FL,FL
440,33155,7.38,FL,FL
441,33156,13.57,FL,FL
442,33157,14.82,FL,FL
443,33158,2.79,FL,FL
444,33160,4.25,FL,FL
445,33161,5.47,FL,FL
446,33162,5.19,FL,FL
447,33165,7.62,FL,FL
448,33166,9.38,FL,FL
449,33167,4.14,FL,FL
450,33168,3.68,FL,FL
451,33169,6.89,FL,FL
452,33170,13.17,FL,FL
453,33172,6.55,FL,FL
454,33173,5.05,FL,FL
455,33174,3.08,FL,FL
456,33175,7.7,FL,FL
457,33176,12.27,FL,FL
458,33177,12.52,FL,FL
459,33178,55.59,FL,FL
460,33179,5.03,FL,FL
461,33180,3.41,FL,FL
462,33181,3.22,FL,FL
463,33182,15.42,FL,FL
464,33183,5.77,FL,FL
465,33184,2.45,FL,FL
466,33185,4.59,FL,FL
467,33186,12.64,FL,FL
468,33187,39.57,FL,FL
469,33189,5.54,FL,FL
470,33190,1.78,FL,FL
471,33193,8.14,FL,FL
472,33194,88.74,FL,FL
473,33195,48.288357221609665,FL,FL
474,33196,24.49,FL,FL
475,33198,48.288357221609665,FL,FL
476,33301,2.51,FL,FL
477,33304,3.18,FL,FL
478,33305,2.2,FL,FL
479,33306,0.85,FL,FL
480,33308,4.55,FL,FL
481,33309,9.54,FL,FL
482,33311,10.35,FL,FL
483,33312,11.43,FL,FL
484,33313,6.51,FL,FL
485,33314,8.31,FL,FL
486,33315,5.23,FL,FL
487,33316,5.06,FL,FL
488,33317,9.57,FL,FL
489,33319,6.96,FL,FL
490,33321,8.25,FL,FL
491,33322,5.71,FL,FL
492,33323,6.6,FL,FL
493,33324,9.21,FL,FL
494,33325,9.57,FL,FL
495,33326,9.65,FL,FL
496,33327,11.26,FL,FL
497,33328,9.4,FL,FL
498,33330,10.26,FL,FL
499,33331,12.46,FL,FL
500,33332,30.75,FL,FL
501,33334,4.79,FL,FL
502,33351,5.76,FL,FL
503,33388,48.288357221609665,FL,FL
504,33394,48.288357221609665,FL,FL
505,33401,5.5,FL,FL
506,33403,3.36,FL,FL
507,33404,7.69,FL,FL
508,33405,4.5,FL,FL
509,33406,8.89,FL,FL
510,33407,10.07,FL,FL
511,33408,7.28,FL,FL
512,33409,6.45,FL,FL
513,33410,11.4,FL,FL
514,33411,42.65,FL,FL
515,33412,46.75,FL,FL
516,33413,7.32,FL,FL
517,33414,28.07,FL,FL
518,33415,7.4,FL,FL
519,33417,6.72,FL,FL
520,33418,46.53,FL,FL
521,33426,6.14,FL,FL
522,33428,9.03,FL,FL
523,33430,113.74,FL,FL
524,33431,8.89,FL,FL
525,33432,4.79,FL,FL
526,33433,9.49,FL,FL
527,33434,6.65,FL,FL
528,33435,6.58,FL,FL
529,33436,11.71,FL,FL
530,33437,10.84,FL,FL
531,33438,21.1,FL,FL
532,33439,48.288357221609665,FL,FL
533,33440,657.8,FL,FL
534,33441,4.84,FL,FL
535,33442,6.71,FL,FL
536,33444,5.03,FL,FL
537,33445,8.02,FL,FL
538,33446,21.32,FL,FL
539,33447,48.288357221609665,FL,FL
540,33449,18.62,FL,FL
541,33455,49.06,FL,FL
542,33458,21.64,FL,FL
543,33460,4.69,FL,FL
544,33461,7.25,FL,FL
545,33462,8.77,FL,FL
546,33463,10.74,FL,FL
547,33467,18.41,FL,FL
548,33469,11.44,FL,FL
549,33470,78.37,FL,FL
550,33471,264.45,FL,FL
551,33472,12.92,FL,FL
552,33473,7.06,FL,FL
553,33476,26.26,FL,FL
554,33477,6.76,FL,FL
555,33478,53.19,FL,FL
556,33480,4.4,FL,FL
557,33483,3.93,FL,FL
558,33484,6.15,FL,FL
559,33486,5.46,FL,FL
560,33487,6.55,FL,FL
561,33493,62.11,FL,FL
562,33496,9.3,FL,FL
563,33498,7.32,FL,FL
564,33510,7.43,FL,FL
565,33511,15.89,FL,FL
566,33513,90.02,FL,FL
567,33514,49.78,FL,FL
568,33523,118.35,FL,FL
569,33525,116.47,FL,FL
570,33527,31.07,FL,FL
571,33534,12.36,FL,FL
572,33538,93.3,FL,FL
573,33540,35.04,FL,FL
574,33541,24.62,FL,FL
575,33542,10.44,FL,FL
576,33543,20.55,FL,FL
577,33544,34.39,FL,FL
578,33545,29.46,FL,FL
579,33547,143.1,FL,FL
580,33548,7.81,FL,FL
581,33549,11.75,FL,FL
582,33556,36.62,FL,FL
583,33558,17.38,FL,FL
584,33559,12.64,FL,FL
585,33563,14.77,FL,FL
586,33565,87.54,FL,FL
587,33566,22.95,FL,FL
588,33567,42.12,FL,FL
589,33569,14.53,FL,FL
590,33570,39.4,FL,FL
591,33572,15.74,FL,FL
592,33573,17.64,FL,FL
593,33576,15.84,FL,FL
594,33578,21.55,FL,FL
595,33579,21.34,FL,FL
596,33584,21.39,FL,FL
597,33585,17.13,FL,FL
598,33592,49.02,FL,FL
599,33594,10.39,FL,FL
600,33596,11.68,FL,FL
601,33597,131.44,FL,FL
602,33598,108.22,FL,FL
603,33602,2.55,FL,FL
604,33603,4.14,FL,FL
605,33604,7.44,FL,FL
606,33605,7.83,FL,FL
607,33606,3.28,FL,FL
608,33607,9.03,FL,FL
609,33609,4.37,FL,FL
610,33610,17.85,FL,FL
611,33611,6.38,FL,FL
612,33612,10.22,FL,FL
613,33613,7.35,FL,FL
614,33614,9.78,FL,FL
615,33615,8.62,FL,FL
616,33616,3.8,FL,FL
617,33617,8.6,FL,FL
618,33618,8.66,FL,FL
619,33619,26.59,FL,FL
620,33621,48.288357221609665,FL,FL
621,33624,8.97,FL,FL
622,33625,9.15,FL,FL
623,33626,13.64,FL,FL
624,33629,4.81,FL,FL
625,33634,8.22,FL,FL
626,33635,5.69,FL,FL
627,33637,7.76,FL,FL
628,33647,33.89,FL,FL
629,33690,48.288357221609665,FL,FL
630,33701,2.67,FL,FL
631,33702,9.94,FL,FL
632,33703,5.22,FL,FL
633,33704,3.43,FL,FL
634,33705,6.05,FL,FL
635,33706,3.66,FL,FL
636,33707,5.27,FL,FL
637,33708,3.41,FL,FL
638,33709,5.13,FL,FL
639,33710,7.94,FL,FL
640,33711,4.77,FL,FL
641,33712,5.86,FL,FL
642,33713,6.55,FL,FL
643,33714,3.7,FL,FL
644,33715,3.65,FL,FL
645,33716,7.27,FL,FL
646,33730,48.288357221609665,FL,FL
647,33755,5.37,FL,FL
648,33756,7.24,FL,FL
649,33759,5.41,FL,FL
650,33760,5.11,FL,FL
651,33761,5.32,FL,FL
652,33762,7.3,FL,FL
653,33763,3.47,FL,FL
654,33764,6.66,FL,FL
655,33765,4.11,FL,FL
656,33767,1.99,FL,FL
657,33770,5.18,FL,FL
658,33771,5.88,FL,FL
659,33772,5.19,FL,FL
660,33773,4.99,FL,FL
661,33774,4.6,FL,FL
662,33776,3.45,FL,FL
663,33777,5.75,FL,FL
664,33778,3.73,FL,FL
665,33781,6.66,FL,FL
666,33782,5.38,FL,FL
667,33785,1.18,FL,FL
668,33786,0.54,FL,FL
669,33801,19.1,FL,FL
670,33803,15.58,FL,FL
671,33805,26.85,FL,FL
672,33809,88.33,FL,FL
673,33810,56.05,FL,FL
674,33811,27.81,FL,FL
675,33812,9.78,FL,FL
676,33813,15.4,FL,FL
677,33815,7.42,FL,FL
678,33823,31.11,FL,FL
679,33825,126.11,FL,FL
680,33827,30.3,FL,FL
681,33830,127.14,FL,FL
682,33834,180.08,FL,FL
683,33837,51.26,FL,FL
684,33838,5.85,FL,FL
685,33839,2.86,FL,FL
686,33841,159.07,FL,FL
687,33843,102.21,FL,FL
688,33844,99.81,FL,FL
689,33849,22.38,FL,FL
690,33850,18.39,FL,FL
691,33852,333.56,FL,FL
692,33853,8.16,FL,FL
693,33857,184.39,FL,FL
694,33859,45.31,FL,FL
695,33860,116.81,FL,FL
696,33865,173.15,FL,FL
697,33867,4.37,FL,FL
698,33868,166.56,FL,FL
699,33870,55.36,FL,FL
700,33872,19.39,FL,FL
701,33873,119.3,FL,FL
702,33875,75.06,FL,FL
703,33876,34.23,FL,FL
704,33880,42.63,FL,FL
705,33881,21.85,FL,FL
706,33884,20.04,FL,FL
707,33890,241.5,FL,FL
708,33896,11.28,FL,FL
709,33897,35.33,FL,FL
710,33898,304.8,FL,FL
711,33900,48.288357221609665,FL,FL
712,33901,6.41,FL,FL
713,33903,12.55,FL,FL
714,33904,9.73,FL,FL
715,33905,42.02,FL,FL
