,state,county,tract,region,ALAND
452,06,013,06013304002,California,85051380.0
453,06,013,06013304003,California,7430079.0
454,06,013,06013304004,California,1817822.0
455,06,013,06013304005,California,10803027.8125
456,06,013,06013305000,California,8106565.0
457,06,013,06013306002,California,7511876.0
458,06,013,06013306003,California,1792594.0
459,06,013,06013306004,California,1665852.0
460,06,013,06013307101,California,2142560.0
461,06,013,06013307102,California,1603153.0
462,06,013,06013307201,California,1559547.0
463,06,013,06013307202,California,703981.0
464,06,013,06013307204,California,1499997.0
465,06,013,06013307205,California,3061616.0
466,06,013,06013308001,California,3728768.0
467,06,013,06013308002,California,3937717.0
468,06,013,06013309000,California,9905657.0
469,06,013,06013310000,California,1979515.0
470,06,013,06013311000,California,1623108.0
471,06,013,06013312000,California,1427723.0
472,06,013,06013313101,California,10803027.8125
473,06,013,06013313102,California,1949097.0
474,06,013,06013313103,California,10803027.8125
475,06,013,06013313203,California,3120763.0
476,06,013,06013313204,California,16995725.0
477,06,013,06013313205,California,1481528.0
478,06,013,06013313206,California,1730248.0
479,06,013,06013314102,California,4687849.0
480,06,013,06013314103,California,5684892.0
481,06,013,06013314104,California,10803027.8125
482,06,013,06013314200,California,4886033.0
483,06,013,06013315000,California,40341966.0
484,06,013,06013316000,California,1522707.0
485,06,013,06013317000,California,1621419.0
486,06,013,06013318000,California,11971988.0
487,06,013,06013319000,California,10803027.8125
488,06,013,06013320001,California,14764561.0
489,06,013,06013320003,California,1244701.0
490,06,013,06013320004,California,5911930.0
491,06,013,06013321101,California,4319812.0
492,06,013,06013321102,California,5326109.0
493,06,013,06013321103,California,5254112.0
494,06,013,06013321200,California,2295589.0
495,06,013,06013322000,California,4377217.0
496,06,013,06013323000,California,1916508.0
497,06,013,06013324001,California,10803027.8125
498,06,013,06013324002,California,2027097.0
499,06,013,06013325000,California,2937535.0
500,06,013,06013326000,California,2382765.0
501,06,013,06013327000,California,10803027.8125
502,06,013,06013328000,California,1082448.0
503,06,013,06013329000,California,2745645.0
