,state,county,tract,region,ALAND
207,12,009,12009071322,Florida,52719623.8125
208,12,009,12009071332,Florida,52719623.8125
209,12,009,12009071334,Florida,52719623.8125
210,12,009,12009071335,Florida,6801610.0
211,12,009,12009071336,Florida,52719623.8125
212,12,009,12009071337,Florida,7619270.0
213,12,009,12009071338,Florida,52719623.8125
214,12,009,12009071339,Florida,10975191.0
215,12,009,12009071340,Florida,52719623.8125
216,12,009,12009071400,Florida,52719623.8125
217,12,009,12009071500,Florida,3339067.0
218,12,009,12009071600,Florida,52719623.8125
219,12,009,12009980000,Florida,64685035.0
220,12,009,12009980100,Florida,49030993.0
221,12,009,12009990000,Florida,0.0
222,12,011,12011010102,Florida,1631521.0
223,12,011,12011010103,Florida,2089489.0
224,12,011,12011010104,Florida,803528.0
225,12,011,12011010200,Florida,4408681.775510204
226,12,011,12011010304,Florida,1196583.0
227,12,011,12011010305,Florida,2408192.0
228,12,011,12011010306,Florida,1241526.0
229,12,011,12011010307,Florida,3017738.0
230,12,011,12011010308,Florida,2518945.0
231,12,011,12011010401,Florida,1830871.0
232,12,011,12011010402,Florida,3125518.0
233,12,011,12011010403,Florida,2570188.0
234,12,011,12011010405,Florida,5949443.0
235,12,011,12011010406,Florida,2072606.0
236,12,011,12011010407,Florida,3088584.0
237,12,011,12011010502,Florida,3561203.0
238,12,011,12011010503,Florida,24720267.0
239,12,011,12011010504,Florida,3888669.0
240,12,011,12011010601,Florida,8445718.0
241,12,011,12011010603,Florida,2701917.0
242,12,011,12011010604,Florida,2130713.0
243,12,011,12011010605,Florida,4798845.0
244,12,011,12011010606,Florida,4068710.0
245,12,011,12011010607,Florida,4408681.775510204
246,12,011,12011010609,Florida,2880819.0
247,12,011,12011010610,Florida,2294393.0
248,12,011,12011010611,Florida,1808854.0
249,12,011,12011010612,Florida,2249721.0
250,12,011,12011010701,Florida,2438660.0
251,12,011,12011010702,Florida,3328722.0
252,12,011,12011010800,Florida,3511980.0
253,12,011,12011010901,Florida,1440782.0
254,12,011,12011010902,Florida,1386599.0
255,12,011,12011011000,Florida,947189.0
256,12,011,12011020101,Florida,2689463.0
257,12,011,12011020103,Florida,2471166.0
258,12,011,12011020104,Florida,2073942.0
259,12,011,12011020204,Florida,2270816.0
260,12,011,12011020205,Florida,2568849.0
261,12,011,12011020206,Florida,1597821.0
262,12,011,12011020207,Florida,4408681.775510204
263,12,011,12011020209,Florida,1116477.0
264,12,011,12011020210,Florida,2635557.0
265,12,011,12011020211,Florida,964521.0
266,12,011,12011020212,Florida,1333768.0
267,12,011,12011020302,Florida,2561348.0
268,12,011,12011020308,Florida,1559554.0
269,12,011,12011020309,Florida,2911387.0
270,12,011,12011020311,Florida,2575108.0
271,12,011,12011020312,Florida,2368634.0
272,12,011,12011020313,Florida,2573823.0
273,12,011,12011020314,Florida,2595449.0
274,12,011,12011020315,Florida,2362047.0
275,12,011,12011020316,Florida,1948523.0
276,12,011,12011020317,Florida,1605406.0
277,12,011,12011020318,Florida,5117459.0
278,12,011,12011020319,Florida,2535750.0
279,12,011,12011020320,Florida,2755358.0
280,12,011,12011020321,Florida,1176322.0
281,12,011,12011020322,Florida,1907229.0
282,12,011,12011020323,Florida,1100293.0
283,12,011,12011020324,Florida,1389173.0
284,12,011,12011020325,Florida,1039398.0
285,12,011,12011020326,Florida,3929136.0
286,12,011,12011020404,Florida,2226042.0
287,12,011,12011020405,Florida,1328050.0
288,12,011,12011020406,Florida,2826619.0
289,12,011,12011020407,Florida,2126759.0
290,12,011,12011020409,Florida,4408681.775510204
291,12,011,12011020411,Florida,4408681.775510204
292,12,011,12011020412,Florida,723510.0
293,12,011,12011020413,Florida,4408681.775510204
294,12,011,12011020414,Florida,1712453.0
295,12,011,12011020415,Florida,1504360.0
296,12,011,12011020501,Florida,1882508.0
297,12,011,12011020502,Florida,4485004.0
298,12,011,12011030100,Florida,2500597.0
299,12,011,12011030201,Florida,1521542.0
300,12,011,12011030202,Florida,4748913.0
301,12,011,12011030203,Florida,1545026.0
302,12,011,12011030301,Florida,1155013.0
303,12,011,12011030302,Florida,2923657.0
304,12,011,12011030401,Florida,2165471.0
305,12,011,12011030402,Florida,2951502.0
306,12,011,12011030500,Florida,6306870.0
307,12,011,12011030600,Florida,4408681.775510204
308,12,011,12011030702,Florida,2264363.0
309,12,011,12011030703,Florida,2481127.0
310,12,011,12011030704,Florida,1693290.0
311,12,011,12011030705,Florida,1475766.0
312,12,011,12011030801,Florida,4408681.775510204
313,12,011,12011030802,Florida,4408681.775510204
314,12,011,12011030902,Florida,2129515.0
315,12,011,12011030903,Florida,1649959.0
316,12,011,12011030904,Florida,2172651.0
317,12,011,12011031001,Florida,1723481.0
318,12,011,12011031002,Florida,1846929.0
319,12,011,12011031101,Florida,1255373.0
320,12,011,12011031102,Florida,1693661.0
321,12,011,12011031202,Florida,4408681.775510204
322,12,011,12011031203,Florida,308482.0
323,12,011,12011031204,Florida,586816.0
324,12,011,12011031205,Florida,681495.0
325,12,011,12011040101,Florida,594448.0
326,12,011,12011040102,Florida,1203350.0
327,12,011,12011040203,Florida,856076.0
328,12,011,12011040204,Florida,1199724.0
329,12,011,12011040205,Florida,2131267.0
330,12,011,12011040206,Florida,1050838.0
331,12,011,12011040300,Florida,1784427.0
332,12,011,12011040401,Florida,841679.0
333,12,011,12011040402,Florida,2864462.0
334,12,011,12011040502,Florida,1774778.0
335,12,011,12011040503,Florida,655955.0
336,12,011,12011040504,Florida,4408681.775510204
337,12,011,12011040601,Florida,1967224.0
338,12,011,12011040602,Florida,1791312.0
339,12,011,12011040701,Florida,1472989.0
340,12,011,12011040702,Florida,1538401.0
341,12,011,12011040801,Florida,1156012.0
342,12,011,12011040802,Florida,1402309.0
343,12,011,12011040901,Florida,2467494.0
344,12,011,12011040902,Florida,1362355.0
345,12,011,12011041000,Florida,1744846.0
346,12,011,12011041100,Florida,1708043.0
347,12,011,12011041200,Florida,2598086.0
